,iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0,173,0.21914706230163575,0.05864077917282894,0.01250009536743164,0.006250047793763838,,sqrt,100,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'min_samples_split': 100}",0.35714285714285715,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.25,0.1857142857142857,0.11157499537009506,2168,0.35714285714285715,0.2807017543859649,0.3023255813953488,0.2782608695652174,0.25,0.2936862124978777,0.035822917145329494
1,0,173,0.2532071590423584,0.07617656508033309,0.01249837875366211,0.00624918939229447,,sqrt,100,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'min_samples_split': 200}",0.35714285714285715,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.25,0.1857142857142857,0.11157499537009506,2168,0.35714285714285715,0.2807017543859649,0.3023255813953488,0.2782608695652174,0.25,0.2936862124978777,0.035822917145329494
2,0,173,0.49315457344055175,0.1984944644636616,0.0,0.0,,sqrt,100,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'min_samples_split': 300}",0.35714285714285715,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.25,0.1857142857142857,0.11157499537009506,2168,0.35714285714285715,0.2807017543859649,0.3023255813953488,0.2782608695652174,0.25,0.2936862124978777,0.035822917145329494
3,0,173,0.3847629547119141,0.10760824571575328,0.0031246185302734376,0.006249237060546875,,sqrt,100,400,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'min_samples_split': 400}",0.35714285714285715,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.25,0.1857142857142857,0.11157499537009506,2168,0.35714285714285715,0.2807017543859649,0.3023255813953488,0.2782608695652174,0.25,0.2936862124978777,0.035822917145329494
4,0,173,0.479937219619751,0.10147125997190405,0.006980133056640625,0.00718232294271096,,sqrt,100,500,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'min_samples_split': 500}",0.35714285714285715,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.25,0.1857142857142857,0.11157499537009506,2168,0.35714285714285715,0.2807017543859649,0.3023255813953488,0.2782608695652174,0.25,0.2936862124978777,0.035822917145329494
5,0,173,0.3691395282745361,0.12325596267720777,0.0031246185302734376,0.006249237060546876,,sqrt,100,600,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'min_samples_split': 600}",0.35714285714285715,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.25,0.1857142857142857,0.11157499537009506,2168,0.35714285714285715,0.2807017543859649,0.3023255813953488,0.2782608695652174,0.25,0.2936862124978777,0.035822917145329494
6,0,173,0.3503915309906006,0.1208564051139546,0.003124570846557617,0.006249141693115233,,sqrt,100,700,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'min_samples_split': 700}",0.35714285714285715,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.25,0.1857142857142857,0.11157499537009506,2168,0.35714285714285715,0.2807017543859649,0.3023255813953488,0.2782608695652174,0.25,0.2936862124978777,0.035822917145329494
7,0,173,0.4331913948059082,0.13073866255351016,0.0,0.0,,sqrt,100,800,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'min_samples_split': 800}",0.35714285714285715,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.25,0.1857142857142857,0.11157499537009506,2168,0.35714285714285715,0.2807017543859649,0.3023255813953488,0.2782608695652174,0.25,0.2936862124978777,0.035822917145329494
8,0,173,0.380431604385376,0.14967942740787274,0.0036529541015625,0.0051819573648374745,,sqrt,100,900,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'min_samples_split': 900}",0.35714285714285715,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.25,0.1857142857142857,0.11157499537009506,2168,0.35714285714285715,0.2807017543859649,0.3023255813953488,0.2782608695652174,0.25,0.2936862124978777,0.035822917145329494
9,0,173,0.40348315238952637,0.18571096830995068,0.0051249504089355465,0.005705913285795419,,sqrt,100,1000,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'min_samples_split': 1000}",0.35714285714285715,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.25,0.1857142857142857,0.11157499537009506,2168,0.35714285714285715,0.2807017543859649,0.3023255813953488,0.2782608695652174,0.25,0.2936862124978777,0.035822917145329494
10,0,173,0.5210927486419678,0.25031937768506163,0.006738424301147461,0.004463530218706756,,sqrt,100,1100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 100, 'min_samples_split': 1100}",0.35714285714285715,0.17857142857142858,0.03571428571428571,0.10714285714285714,0.25,0.1857142857142857,0.11157499537009506,2168,0.35714285714285715,0.2807017543859649,0.3023255813953488,0.2782608695652174,0.25,0.2936862124978777,0.035822917145329494
